name,gender,langage,frequency,translated_name
aleksandr,m,russian,0,ألكساندر
aleksandra,f,"russian, polish, serbian, bulgarian, slovene",0,ألكساندرا
aleksandrina,f,"serbian, croatian, russian",0,ألكساندرينا
aleksandro,m,esperanto,0,ألكساندرو
aleksanteri,m,finnish,0,aleksanteri
aleksei,m,russian,0,أليكسي
aleksi,m,finnish,0,ألكسي
alene,f,english,0,Alene
alenka,f,slovene,0,ألينكا
ales,m,czech,0,الجزيرة
alesha,f,english (modern),0,أليشا
alessa,f,italian,0,أليسا
alessandra,f,italian,0,اليساندرا
alessandro,m,italian,1.21,أليساندرو
alessia,f,italian,0,أليسيا
alessio,m,italian,0,أليسيو
aleta,f,english,0,أليتا
aletha,f,english,0,أليثا
alethea,f,english,0,أليثيا
alex,"m,f",english,3.03,أليكس
alexa,f,english,0,اليكسا
alexander,m,"english, german, dutch",2.1,ألكساندر
alexandr,m,czech,0,ألكساندر
alexandra,f,"german, scandinavian, dutch, english, greek, portuguese, romanian, czech, hungarian, ancient greek",2.26,الكسندرا
alexandre,m,"french, portuguese, hungarian",18,ألكساندر
alexandrea,f,english,0,الكسندريا
alexandria,f,english,0,الإسكندرية
alexandrie,f,french,5.54,الإسكندري
alexandrina,f,english,0,ألكساندرينا
alexandros,m,"greek, ancient greek",0.1,ألكساندروس
alexandru,m,romanian,0,ألكساندرو
alexei,m,russian,0,أليكسي
alexej,m,czech,0,ألكسج
alexia,f,"english, german",0,الكسيس
alexina,f,english,0,أليكسينا
alexis (1),m,"german, french, english, ancient greek",0,الكسيس (1)
alexis (2),f,english,0,الكسيس (2)
alexius,m,ancient greek (latinized),0,أليكسوس
alexus,f,english,0,ألكسوس
alf,m,english,0.03,ألف
alfeo,m,italian,0,Alfeo
alfhild,f,"norwegian, swedish",0,ألفهيلد
alfons,m,german,0.03,ألفونز
alfonsina,f,italian,0,ألفونسينا
alfonso,m,"spanish, italian",0.25,ألفونسو
alfréd,m,hungarian,0,ألفريد
alfred,m,"english, french",5.48,ألفريد
alfreda,f,"english, polish, german, italian",0,ألفريدا
alfredo,m,"italian, spanish, portuguese",0.41,ألفريدو
alfsigr,f,ancient scandinavian,0,ألفسيجر
algar,m,english,0,الغار
alger,m,english,22.65,الجزائر
algernon,m,english,0.03,ألجرنون
ali,m,arabic,8.44,علي
alia,f,arabic,0.1,علياء
aliah,f,,0,عليا
alice,f,"english, french",10.07,أليس
alicia,f,"spanish, english",0.35,أليسيا
alida,f,hungarian,0.48,أليدا
aliisa,f,finnish,0,عليزا
alin,m,romanian,0.06,ألين
alina (1),f,arabic,0,ألينا (1)
alina (2),f,"german, polish",0,ألينا (2)
aline,f,"french, english",0.61,ألين
alis,f,welsh,0.1,أليس
alisa,f,english,0.1,أليسا
alisha,f,english,0,أليشا
alisia,f,english,0,أليسا
alison,"f,m","english, french",0.03,أليسون
alissa,f,english,0.48,أليسا
alistair,m,scottish,0.03,أليستير
alister,m,scottish,0,أليستر
alisya,f,english (modern),0,أليسا
alix,"m,f",english,5.8,أليكس
aliyah,f,jewish,0,العليا
aliz,f,hungarian,0,أليز
aliza,f,jewish,0,أليزا
allan,m,"english, scottish",0.35,آلان
allannah,f,english,0,ألانا
allegra,f,"english, italian",0,أليجرا
allegria,f,english,0.03,أليجريا
allen,m,"english, scottish",0.83,ألين
allie,f,english,1.05,ألي
allison,f,english,0.19,أليسون
allon,m,biblical,0.03,Allon
ally,f,english,0,حليف
allycia,f,english (modern),0,أليسيا
allyn,m,english,0,ألين
allyson,f,english,0,أليسون
alma,f,english,0.96,ألما
almas,f,"arabic, iranian",0,الماس
almira,f,english,0,الميرا
almudena,f,spanish,0,الميدينا
alodia,f,,0,ألوديا
alois,m,"german, czech",0,ألويس
aloisia,f,german,0,aloisia
aloisio,m,portuguese,0,aloisio
alojz,m,slovene,0,alojz
alon,m,jewish,0,ألون
alondra,f,spanish,0,ألوندرا
alonso,m,spanish,6.08,ألونسو
alonzo,m,italian,0.1,ألونزو
aloysius,m,"english, german, dutch",2.17,الويسيوس
alp,m,turkish,0,Alp
alpertti,m,finnish,0,ألبرتي
alpha,"m,f",english,1.85,ألفا
alphaeus,m,biblical,0,ألفايوس
alphonse,m,french,8.16,ألفونس
alphonsine,f,french,0.1,ألفونسين
alphonso,m,italian,0,ألفونسو
alphonsus,m,,0,ألفونسوس
alphonzo,m,english,0,ألفونزو
alpin,m,scottish,1.12,جبال الألب
alta,f,,0.16,ألتا
altan,m,turkish,1.56,التان
alte,f,jewish,0,Alte
alter,m,jewish,0.54,تغيير
althea,f,greek mythology (latinized),0.03,ألثيا
alton,m,english,0.03,ألتون
aludra,f,astronomy,0,الحلدرا
alun,m,welsh,0.86,ألون
alva,m,,0.06,ألفا
alvah,m,biblical,0,ألفاه
alvar,m,english,0.03,ألفار
álvaro,m,"spanish, portuguese",0,álvaro
alvena,f,english,0,الفنا
alvilda,f,danish,0,ألفيدا
alvin,m,english,0.1,ألفين
alvina,f,english,0,ألفينا
alvis,m,norse mythology,0,ألفيس
alwilda,f,english,0,ألويلدا
alwyn,m,english,0,ألوين
alya,f,arabic,0,عليا
alyce,f,english (modern),0,أليس
alyona,f,russian,0,أليونا
alys,f,english (modern),0,أليس
alysha,f,english (modern),0,عليشا
alyson,f,english,0,أليسون
alyssa,f,english,0,أليسا
alyssia,f,english,0,أليس
alyusha,m,russian,0,أليوشا
alyx,f,english,0,أليكس
alzbeta,f,"czech, slovak",0,الحلي
ama,f,african,0.13,AMA
amabel,f,english,0,أمابيل
amada,f,spanish,0.03,أمادا
amadeo,m,italian,0.35,أماديو
amadeus,m,late roman,0.1,أماديوس
amadi (1),f,african,0,أمادي (1)
amadi (2),m,african,0,أمادي (2)
amal (1),"f,m",arabic,0,أمل (1)
amal (2),m,biblical,0,أمل (2)
amala,f,indian,0,أمالا
amália,f,hungarian,0,أما
amalia,f,"german, english",0.03,أماليا
amalric,m,ancient germanic,0,أمالريك
amalthea,f,greek mythology,0,أمالثيا
amanda,f,english,0.25,أماندا
amandine,f,english,0.48,أماندين
amando,m,spanish,0,أماندو
amani,f,arabic,0,أماني
amar,m,indian,1.56,عمار
amara,f,,0.03,عمارة
amaranta,f,english,0,أمارانتا
amarante,f,"french, ancient greek",0.76,أمارانتي
amardad,m,,0,Amardad
amariah,m,biblical,0,أمريا
amaryllis,f,english,0.96,أماريليس
amaterasu,f,far eastern mythology,0.06,Amaterasu
amato,m,italian,0,أماتو
amaury,m,french,6.75,amaury
amaya,f,japanese,0,أمايا
amber,f,english,0.13,العنبر
ambra,f,italian,0,أمبرا
ambre,f,french,3.76,أمبري
ambrogino,m,italian,0,أمبروجينو
ambrogio,m,italian,0.03,أمبروجيو
ambroise,m,french,1.59,أمبرويز
ambrose,m,english,0.1,أمبروز
ambrosia,f,ancient greek,0,أمبروسيا
ambrosine,f,english,0,أمبروسين
ambrosio,m,"spanish, portuguese",0,أمبروسيو
ambrus,m,hungarian,0,أمبروس
amedea,f,italian,0,أميديا
amédée,m,french,1.72,أميدي
amedeo,m,italian,0.1,أميديو
amedeus,m,english,0,أميديوس
amélia,f,portuguese,0.06,أميليا
amelia,f,english,0,أميليا
amélie,f,french,1.59,أميلي
amen,m,egyptian mythology,1.88,آمين
amenhotep,m,ancient egyptian,0,Amenhotep
america,f,english,0.54,أمريكا
americo,m,"spanish, portuguese",0,أمريكو
amerigo,m,italian,0.13,أميريغو
amethyst,f,english,0,جمشت
amhlaidh,m,scottish,0,Amhlaidh
amhlaoibh,m,irish,0,amhlaoibh
ami,f,english (modern),93.44,أمي
amias,m,english,0,أمياس
amice,f,english,0.06,أميس
amie,f,english,33.13,آمي
amika,f,esperanto,0,أميكا
amilcar,m,"portuguese, spanish",0.1,Amilcar
amilia,f,english,0,أميليا
amin,m,arabic,0.1,أمين
amina,f,arabic,0,أمينة
aminda,f,esperanto,0,آميندا
aminta,f,,0.03,أمينتا
amir (1),m,arabic,0,أمير (1)
amir (2),m,jewish,0,أمير (2)
amira,f,arabic,0,أميرة
amita,f,indian,0,أميتا
amittai,m,biblical,0,أميتاي
amity,f,english,0,amity
ammiel,m,biblical,0,Ammiel
ammon,m,egyptian mythology (hellenized),0.19,عمون
amon,m,egyptian mythology,0.03,آمون
amos,m,"biblical, english, jewish",0.1,عاموس
amparo,f,spanish,0,أمبرو
amrit,"m,f",indian,0,أمريت
amrita,f,indian,0,أمريتا
amy,f,english,0.06,إيمي
amyas,m,english,0,إيمياس
amynta,f,,0,أمينتا
an,"m,f",chinese,82.32,و
ana,f,"spanish, portuguese, slovene, bulgarian, romanian, croatian, serbian",4.62,آنا
anacleto,m,"italian, spanish, portuguese",0,أناكليتو
anacletus,m,ancient greek (latinized),0,أناكليتوس
anahid,f,armenian,0,Anahid
anahita,f,near eastern mythology,0,Anahita
anaïs,f,"provençal, catalan, french",0.03,آنا
anaitis,f,near eastern mythology (hellenized),0,Anaitis
anakin,m,literature,0,Anakin
anakoni,m,hawaiian,0,Anakoni
anan (1),"m,f",african,0,أنان (1)
anan (2),m,biblical,0,أنان (2)
anand,m,indian,0,أناند
ananda,f,indian,0.03,أناندا
anani,m,biblical,0,أناني
ananias,m,biblical,0,أنانياس
ananta,m,indian,0,أنانتا
ananth,m,indian,0,أنانث
anantha,m,indian,0,أنانثا
anargyros,m,greek,0.16,أنرغيرووس
anaru,m,maori,0,أنارو
anas,m,arabic,0.06,أناس
anass,m,arabic,0,أنس
anastacia,f,english,0,Anastacia
anastas,m,spanish,0,أناستاس
anastasia,f,"russian, greek, ancient greek",0.76,أناستازيا
anastasie,f,french,0.22,أناستاسي
anastasio,m,italian,0,أناستاسيو
anastasios,m,"greek, ancient greek",0,Anastasios
anastasius,m,ancient greek (latinized),0,أناستاسيوس
anasztáz,m,hungarian,0,Anasztáz
anasztázia,f,hungarian,0,Anasztázia
anat,f,near eastern mythology,0.03,أنات
anath (1),m,biblical,0,أنث (1)
anath (2),f,near eastern mythology,0,أنث (2)
anatole,m,french,5.22,الأناضول
anatoli,m,russian,0,أناتولي
anatolius,m,ancient greek (latinized),0,الأناضول
anatoly,m,russian,0,الأناضول
anatu,f,near eastern mythology,0,أناتو
anaxagoras,m,ancient greek,0,Anaxagoras
anca,f,romanian,0,anca
anchjo,m,esperanto,0,أنشجو
andela,f,czech,0,أندريلا
ander,m,basque,0,أندر
anders,m,scandinavian,0.29,أندرس
anderson,m,english,1.72,أندرسون
andor,m,norwegian,0,أندور
andra,f,english,0,أندرا
andrás,m,hungarian,0,أندرا
andras,m,welsh,0,أندراس
andraste,f,celtic mythology,0,أندرستر
andré,m,"french, portuguese",31.54,أندريه
andrea (1),m,italian,0,أندريا (1)
andrea (2),f,"english, german, czech, slovak, hungarian, scandinavian",0,أندريا (2)
andreas,m,"german, greek, scandinavian, ancient greek",0.25,أندرياس
andrée,f,french,0.8,أندريه
andreea,f,romanian,0,أندرريا
andrei,m,"russian, bulgarian, romanian",0.16,أندريه
andreia,f,portuguese,0,أندريا
andrej,m,"slovene, czech, croatian",0,أندريج
andreja,f,slovene,0,أندريجا
andrés,m,spanish,0.03,أندريس
andreu,m,catalan,0.03,أندريو
andrew,m,"english, biblical",0.57,أندرو
andriana,f,english,0,أندريانا
andries,m,dutch,0,أندريس
andrija,m,"croatian, serbian",0,أندريجا
andrina,f,english,0,أندرينا
andris,m,hungarian,0,أندرس
andriy,m,ukrainian,0,أندري
andro,m,croatian,0.03,أندرو
androcles,m,ancient greek (latinized),0,أندروكليس
andromache,f,greek mythology,0,Andromache
andromeda,f,greek mythology,0,أندروميدا
andronikos,m,ancient greek,0,Andronikos
andrzej,m,polish,0.03,أندرزيج
andy,m,english,0.1,آندي
ane,f,danish,0.19,ane
aneirin,m,welsh,0,aneirin
anelie,f,german,0,أنيلي
anemone,f,english,0,شقائق النعمان
aneurin,m,welsh,0,أمانورين
anfisa,f,russian,0,Anfisa
angel,"m,f",english,6.63,ملاك
ángela,f,spanish,0,ángela
angela,f,"english, italian, german, romanian, slovene",0.32,أنجيلا
angèle,f,french,0.8,أنجيل
angelia,f,english,0,أنجيريا
angelica,f,"english, italian, romanian",0.38,أنجليكا
angelika,f,german,0,أنجليكا
angelina,f,"english, italian",0.06,أنجلينا
angeline,f,french,0.03,أنجيلين
angelique,f,french,0.03,أنجيليك
angelita,f,spanish,0,أنجيلتا
angelle,f,english,0,أنجل
angelo,m,italian,3.57,أنجيلو
angelos,m,greek,0.1,أنجيلوس
angerona,f,roman mythology,0,الغضب
angharad,f,welsh,0,أنغراد
angie,f,english,0.06,أنجي
angus,m,"scottish, irish, english",1.05,أنجوس
angyalka,f,hungarian,0,angyalka
ania,f,"russian, polish",0.03,أنيا
anibal,m,"spanish, portuguese",0,أنبال
anica,f,slovene,0,أنيكا
anicetus,m,ancient greek (latinized),0,anicetus
aniela,f,polish,0.76,أنيلا
anika,f,,0,أنيكا
aniketos,m,"greek, ancient greek",0,aniketos
anikó,f,hungarian,0,أنيكو
anima (1),f,indian,0,أنيما (1)
anima (2),f,english,0,أنيما (2)
aniruddha,m,indian,0,Aniruddha
anisa,f,arabic,0,أنيسا
anise,f,english,0,اليانسون
anisim,m,russian,0,Anisim
anita,f,spanish,8.35,أنيتا
anja,f,scandinavian,0.1,أنجا
anjali,f,indian,0.03,أنجالي
anjelica,f,english (modern),0,أنجيليكا
anka,f,polish,0,أنكا
anke,f,"german, dutch",0,أنكي
ankur,m,indian,0,أنكور
ann,f,english,0.38,آن
anna,f,"english, italian, german, dutch, scandinavian, greek, hungarian, polish, russian, czech, bulgarian, icelandic",14.94,آنا
annabel,f,english,0.06,أنابيل
annabella,f,"english, italian",0.35,أنابيلا
annabelle,f,english,0,أنابيل
annalisa,f,english,0,أناليسا
annas,m,biblical,0,أناس
anne,f,"french, english, german, scandinavian",45.59,آن
anneka,f,english,0,آنيكا
anneke,f,dutch,0,آنك
anneli,f,finnish,0,أنيلي
annelie,f,"german, scandinavian",0,أنيلي
anneliese,f,german,0.03,Anneliese
annelise,f,danish,0,آنيلز
annemarie,f,"dutch, german",0,آن ماري
annetta,f,"english, italian",0,أنيتا
annette,f,french,1.37,أنيت
annice,f,english,0,أنس
annick,f,breton,0.22,أنيك
annie,f,english,9.17,آني
anniina,f,finnish,0,anniina
annika,f,"dutch, swedish, finnish",0,أنيكا
annikki,f,finnish,0,أنيكي
annis,f,english,0,آنيس
annmarie,f,english,0,آن ماري
annunciata,f,italian,0,annunciata
annunziata,f,italian,0.03,Annunziata
annuska,f,hungarian,0,Annuska
anona,f,english,0,أنونا
anouk,f,dutch,0.06,أنوك
anoush,f,armenian,0,أنوش
anouska,f,russian,0,anouska
anraí,m,irish,0,أنرا
ansel,m,,0.03,أنسل
anselm,m,english,0,أنسيلم
anselma,f,"german, dutch, italian, spanish",0,Anselma
anselme,m,french,1.08,Anselme
anselmo,m,"italian, spanish, portuguese",0,أنسيلمو
ansgar,m,"german, scandinavian",0,أنسجار
anshel,m,jewish,0,انشيل
anson,m,english,0.03,أنسون
antal,m,hungarian,0.1,Antal
antanas,m,lithuanian,0.03,أنتاناس
ante,m,croatian,1.15,ما قبل
antero,m,finnish,0,أنتيرو
anthea,f,greek mythology (latinized),0,أنثيا
anthony,m,english,0.8,أنتوني
antigone,f,greek mythology,0.86,أنتيجون
antigonus,m,ancient greek (latinized),0,أنتيجونوس
antiope,f,greek mythology,0.1,مكافحة
antipater,m,ancient greek (anglicized),0,مضاد
antje,f,"german, dutch",0,أنتي
anto,m,croatian,0.06,أنتو
antoine,m,french,46.7,أنطوان
antoinette,f,french,9.37,أنطوانيت
anton,m,"german, russian, scandinavian, bulgarian, slovene, romanian",5.16,أنطون
